Region Name,State name,State and County,Region Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Price change % 2015-19
Albany County,New York,"Albany County, New York",36001,100,104.51,110.89,119.07,135.33,155.11,168.06,172.35,173.07,169.35,166.22,163.73,161.24,161.1,161.08,162.04,165.78,171.53,175.89,179.32,184.76,0.11323565929972679
Albemarle County,Virginia,"Albemarle County, Virginia",51003,100,108.2,115.0,123.31,136.74,159.69,178.47,182.57,177.89,166.98,159.6,154.34,150.86,151.42,154.63,159.89,164.41,168.25,177.58,184.48,189.05,0.19304145379292503
Alcona County,Michigan,"Alcona County, Michigan",26001,100,106.3,110.61,113.25,122.52,128.02,130.61,119.97,120.84,111.85,103.42,96.73,92.09,95.12,93.1,100.09,95.85,101.72,113.33,115.1,121.89,0.23630504833512345
Alcorn County,Mississippi,"Alcorn County, Mississippi",28003,100,104.16,107.89,107.65,112.07,111.22,118.45,123.25,125.51,124.15,122.09,121.75,123.58,126.04,126.29,133.75,129.72,131.22,140.16,140.34,143.38,0.11125188059228752
Alexander County,North Carolina,"Alexander County, North Carolina",37003,100,104.8,107.01,108.22,108.77,114.35,121.2,125.11,126.91,125.01,121.19,116.82,111.89,110.64,112.98,116.19,117.13,123.13,130.63,135.92,141.61,0.20304478668790926
Alexandria City,Virginia,"Alexandria City, Virginia",51510,100,113.95,128.23,140.17,163.62,201.1,217.49,212.57,204.52,202.42,204.71,206.33,209.61,216.41,230.65,236.51,244.75,248.94,254.79,267.24,277.84,0.15863862995881206
Alger County,Michigan,"Alger County, Michigan",26003,100,105.95,108.96,110.2,114.41,123.22,131.21,133.49,132.17,131.03,129.14,125.58,123.65,122.82,129.97,131.37,127.72,130.64,139.44,140.75,139.98,0.08294221743479269
Allamakee County,Iowa,"Allamakee County, Iowa",19005,100,99.98,103.18,104.74,109.31,118.78,129.81,129.37,133.21,130.96,130.64,129.97,130.93,137.62,136.92,139.96,146.41,147.51,154.07,155.03,158.67,0.1322670172363425
Allegan County,Michigan,"Allegan County, Michigan",26005,100,103.61,106.81,108.34,113.79,117.74,120.34,116.18,114.11,107.25,99.95,96.42,95.86,99.08,104.78,110.84,118.34,128.44,137.22,145.04,150.77,0.3842336323725901
Allegany County,Maryland,"Allegany County, Maryland",24001,100,104.71,107.74,110.21,117.05,129.61,147.35,159.07,158.11,152.03,147.26,143.77,140.69,135.99,132.14,132.81,133.17,139.21,136.87,141.7,148.17,0.07234751021643704
Allegany County,New York,"Allegany County, New York",36003,100,107.55,106.09,110.11,115.54,115.53,116.87,118.76,122.74,121.71,119.18,125.61,120.97,123.64,122.29,128.73,120.81,124.82,144.15,133.05,150.86,0.08798757052907025
Alleghany County,North Carolina,"Alleghany County, North Carolina",37005,100,109.55,109.68,110.76,122.22,127.3,144.19,157.93,153.55,153.56,151.73,136.56,136.62,129.54,130.26,138.22,136.95,145.66,142.08,147.21,167.15,0.130124366651313
Alleghany County,Virginia,"Alleghany County, Virginia",51005,100,106.64,110.68,112.12,119.01,129.65,139.0,146.8,147.09,146.79,140.73,139.63,143.33,138.07,141.13,136.77,142.99,145.46,147.81,150.53,156.17,0.0666052575639482
Allegheny County,Pennsylvania,"Allegheny County, Pennsylvania",42003,100,105.91,109.96,112.67,117.89,122.45,125.11,127.46,128.98,129.39,129.79,130.61,131.54,134.61,140.35,145.28,151.29,158.27,167.97,174.6,181.62,0.244032775204845
Allen County,Kentucky,"Allen County, Kentucky",21003,100,106.46,107.41,109.46,110.03,119.93,123.8,127.56,130.34,127.95,123.07,125.04,122.41,125.68,128.9,131.27,137.13,140.78,150.54,154.42,161.42,0.19798293250581822
Allen County,Kansas,"Allen County, Kansas",20001,100,105.3,104.78,108.87,109.49,117.53,118.42,126.44,131.73,129.25,128.79,128.94,122.96,124.46,124.22,124.76,131.73,121.9,129.2,136.97,143.91,0.1026404765738207
Allen Parish,Louisiana,"Allen Parish, Louisiana",22003,100,104.17,108.67,109.28,113.73,115.71,130.54,136.68,141.8,140.82,144.93,145.83,148.13,149.12,151.4,152.72,157.91,156.72,170.09,171.65,172.96,0.1337516512549537
Allen County,Ohio,"Allen County, Ohio",39003,100,104.25,106.08,107.16,111.78,116.53,117.54,117.17,116.78,114.32,110.17,107.54,108.09,106.34,106.85,110.66,113.63,116.99,122.33,126.64,133.22,0.18521291530182515
Allen County,Indiana,"Allen County, Indiana",18003,100,104.29,106.74,107.4,108.86,111.93,112.51,112.61,110.88,109.23,107.55,106.65,106.05,107.02,108.72,112.99,118.1,124.75,134.33,142.52,150.58,0.3108903605592348
