Current_Residence_State,Current_Residence_County,Current_Residence_County_Population_1_Year_and_Over,Current_Residence_County_Nonmovers,Current_Residence_Movers_within_United_States,Current_Residence_Movers_within_Same_County,Current_Residence_Movers_from_Different_County_Same_State,Current_Residence_Movers_from_Different_State,Current_Residence_Movers_from_Abroad,Previous_Residence_State/U.S._Island_Area/Foreign_Region,Previous_Residence_County,Previous_Residence_County_Population_1_Year_and_Over,Previous_Residence_County_Nonmovers,Previous_Residence_Movers_within_United_States_or_Puerto_Rico,Previous_Residence_Movers_within_Same_County,Previous_Residence_Movers_within_Different_County_Same_State,Previous_Residence_Movers_within_Different_State,Previous_Residence_Movers_to_Puerto_Rico,Movers_in_County_to_County_Flow,Current_Residence_County_State,Previous_Residence_County_State
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Baldwin County,207884,186155,21729,13004,3133,5592,,25,"Autauga County, Alabama","Baldwin County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Barbour County,25266,21406,3860,2325,1210,325,,4,"Autauga County, Alabama","Barbour County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Bibb County,21960,19860,2100,784,1184,132,,10,"Autauga County, Alabama","Bibb County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Blount County,57849,53424,4425,2024,1818,583,,3,"Autauga County, Alabama","Blount County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Calhoun County,113102,94947,18088,11467,4162,2459,67,2,"Autauga County, Alabama","Calhoun County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Chilton County,43801,39270,4531,2835,1234,462,,11,"Autauga County, Alabama","Chilton County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Clarke County,24100,22249,1851,1146,413,292,,34,"Autauga County, Alabama","Clarke County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Conecuh County,12488,11909,579,191,357,31,,44,"Autauga County, Alabama","Conecuh County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Dale County,47147,39659,7488,3126,2289,2073,,75,"Autauga County, Alabama","Dale County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Dallas County,39054,34106,4948,3123,1392,433,,129,"Autauga County, Alabama","Dallas County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Elmore County,78802,68625,10177,4551,4515,1111,,547,"Autauga County, Alabama","Elmore County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Etowah County,101090,87863,13227,9063,2435,1729,,1,"Autauga County, Alabama","Etowah County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Jefferson County,650812,547909,102903,71086,18532,13285,,17,"Autauga County, Alabama","Jefferson County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Lauderdale County,88588,75964,12624,8429,2602,1593,,47,"Autauga County, Alabama","Lauderdale County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Lee County,153728,128091,25637,14360,4949,6328,,182,"Autauga County, Alabama","Lee County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Limestone County,90955,81011,9944,4943,3464,1537,,20,"Autauga County, Alabama","Limestone County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Madison County,355157,298126,57019,37693,8736,10590,12,11,"Autauga County, Alabama","Madison County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Marion County,30254,27265,2989,1505,1079,405,,1,"Autauga County, Alabama","Marion County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Marshall County,94779,83310,11469,6142,3745,1582,,27,"Autauga County, Alabama","Marshall County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Mobile County,411234,358901,52333,37330,5941,9062,,10,"Autauga County, Alabama","Mobile County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Montgomery County,220735,177968,42741,29974,6819,5948,26,524,"Autauga County, Alabama","Montgomery County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Russell County,55808,46872,8936,3938,1524,3474,,21,"Autauga County, Alabama","Russell County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,St. Clair County,87046,76746,10300,5410,4028,862,,58,"Autauga County, Alabama","St. Clair County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Shelby County,207819,182989,24830,12235,8024,4571,,41,"Autauga County, Alabama","Shelby County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Tallapoosa County,40516,36101,4415,1860,1929,626,,6,"Autauga County, Alabama","Tallapoosa County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Walker County,62018,54678,7340,5170,1762,408,,16,"Autauga County, Alabama","Walker County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Wilcox County,10912,9783,1129,348,711,70,,149,"Autauga County, Alabama","Wilcox County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Arizona,Cochise County,123826,103962,19864,8467,4877,6520,,81,"Autauga County, Alabama","Cochise County, Arizona"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,California,Kings County,145893,121820,24073,13940,6521,3612,,9,"Autauga County, Alabama","Kings County, California"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Florida,Brevard County,567736,496449,71225,46106,11242,13877,62,8,"Autauga County, Alabama","Brevard County, Florida"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Florida,Hillsborough County,1382753,1153667,228550,152369,43546,32635,536,33,"Autauga County, Alabama","Hillsborough County, Florida"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Florida,Santa Rosa County,168391,141020,27371,11927,7788,7656,,42,"Autauga County, Alabama","Santa Rosa County, Florida"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Georgia,Coweta County,141073,122682,18391,10245,5952,2194,,49,"Autauga County, Alabama","Coweta County, Georgia"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Georgia,Gwinnett County,898878,789036,109695,55476,35895,18324,147,42,"Autauga County, Alabama","Gwinnett County, Georgia"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Georgia,Pulaski County,10744,9183,1561,1199,239,123,,8,"Autauga County, Alabama","Pulaski County, Georgia"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Illinois,Cook County,5186144,4486555,699293,483728,81192,134373,296,16,"Autauga County, Alabama","Cook County, Illinois"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Indiana,Marion County,948530,803104,145382,89544,33936,21902,44,8,"Autauga County, Alabama","Marion County, Indiana"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Kentucky,Adair County,19492,17043,2449,847,1430,172,,29,"Autauga County, Alabama","Adair County, Kentucky"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Louisiana,Bossier Parish,125231,109660,15571,7120,4418,4033,,158,"Autauga County, Alabama","Bossier Parish, Louisiana"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Maryland,Anne Arundel County,560635,481055,79553,41518,16014,22021,27,38,"Autauga County, Alabama","Anne Arundel County, Maryland"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Maryland,Frederick County,247069,217864,29205,15476,6498,7231,,52,"Autauga County, Alabama","Frederick County, Maryland"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Michigan,Kalamazoo County,254778,208118,46660,31136,9439,6085,,35,"Autauga County, Alabama","Kalamazoo County, Michigan"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Minnesota,Wadena County,13667,11988,1679,719,599,361,,2,"Autauga County, Alabama","Wadena County, Minnesota"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Mississippi,Oktibbeha County,47431,37286,10145,5656,2356,2133,,20,"Autauga County, Alabama","Oktibbeha County, Mississippi"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Missouri,St. Louis County,981923,845199,136724,83378,29055,24291,,37,"Autauga County, Alabama","St. Louis County, Missouri"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,New Jersey,Somerset County,328839,296670,32117,10594,11021,10502,52,7,"Autauga County, Alabama","Somerset County, New Jersey"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,New Mexico,Curry County,48841,38829,10012,5673,1306,3033,,138,"Autauga County, Alabama","Curry County, New Mexico"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,North Carolina,Forsyth County,369075,318398,50677,29946,12710,8021,,5,"Autauga County, Alabama","Forsyth County, North Carolina"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Oklahoma,Stephens County,44256,37138,7118,4121,1964,1033,,8,"Autauga County, Alabama","Stephens County, Oklahoma"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Oregon,Umatilla County,75515,63224,12291,7902,2023,2366,,13,"Autauga County, Alabama","Umatilla County, Oregon"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,South Carolina,Sumter County,106357,89614,16743,9661,2982,4100,,226,"Autauga County, Alabama","Sumter County, South Carolina"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Tennessee,Bradley County,105721,88013,17708,10713,4222,2773,,1,"Autauga County, Alabama","Bradley County, Tennessee"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Tennessee,Madison County,96121,86171,9950,5718,2608,1624,,88,"Autauga County, Alabama","Madison County, Tennessee"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Tennessee,Sequatchie County,14879,13352,1527,670,582,275,,31,"Autauga County, Alabama","Sequatchie County, Tennessee"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Tennessee,Williamson County,215449,188836,26583,11733,8780,6070,30,7,"Autauga County, Alabama","Williamson County, Tennessee"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Texas,Denton County,789998,671882,118078,65371,37905,14802,38,14,"Autauga County, Alabama","Denton County, Texas"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Texas,Harris County,4537725,3848341,689176,507243,116720,65213,208,8,"Autauga County, Alabama","Harris County, Texas"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Texas,Midland County,162467,134069,28398,15572,9398,3428,,57,"Autauga County, Alabama","Midland County, Texas"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Virginia,Arlington County,230037,183640,46397,16803,14134,15460,,31,"Autauga County, Alabama","Arlington County, Virginia"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Virginia,James City County,73886,64021,9837,3149,4159,2529,28,41,"Autauga County, Alabama","James City County, Virginia"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Virginia,Loudoun County,387987,341067,46882,21537,11006,14339,38,8,"Autauga County, Alabama","Loudoun County, Virginia"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Virginia,Lynchburg city,76107,62527,13580,7010,4473,2097,,78,"Autauga County, Alabama","Lynchburg city, Virginia"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Virginia,Norfolk city,227602,176367,51235,26540,13294,11401,,19,"Autauga County, Alabama","Norfolk city, Virginia"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Virginia,Virginia Beach city,442815,365430,77191,40502,17333,19356,194,59,"Autauga County, Alabama","Virginia Beach city, Virginia"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,West Virginia,Wood County,84513,74171,10342,6326,1665,2351,,31,"Autauga County, Alabama","Wood County, West Virginia"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Wisconsin,Wood County,73100,63579,9521,5420,3202,899,,4,"Autauga County, Alabama","Wood County, Wisconsin"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Wyoming,Laramie County,96550,80253,16297,9382,1199,5716,,7,"Autauga County, Alabama","Laramie County, Wyoming"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Asia,-,,,,,,,,66,"Autauga County, Alabama","-, Asia"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Europe,-,,,,,,,,10,"Autauga County, Alabama","-, Europe"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,U.S. Island Areas,-,,,,,,,,18,"Autauga County, Alabama","-, U.S. Island Areas"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Autauga County,57140,48066,9074,2976,4659,1439,,448,"Baldwin County, Alabama","Autauga County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Barbour County,25266,21406,3860,2325,1210,325,,5,"Baldwin County, Alabama","Barbour County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Blount County,57849,53424,4425,2024,1818,583,,14,"Baldwin County, Alabama","Blount County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Butler County,19859,18346,1513,772,555,186,,22,"Baldwin County, Alabama","Butler County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Calhoun County,113102,94947,18088,11467,4162,2459,67,199,"Baldwin County, Alabama","Calhoun County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Cherokee County,25407,23219,2188,1188,714,286,,7,"Baldwin County, Alabama","Cherokee County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Chilton County,43801,39270,4531,2835,1234,462,,9,"Baldwin County, Alabama","Chilton County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Choctaw County,12956,11507,1449,619,552,278,,14,"Baldwin County, Alabama","Choctaw County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Clarke County,24100,22249,1851,1146,413,292,,16,"Baldwin County, Alabama","Clarke County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Cleburne County,14107,12856,1251,726,296,229,,49,"Baldwin County, Alabama","Cleburne County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Coffee County,50813,42121,8498,4027,2105,2366,194,3,"Baldwin County, Alabama","Coffee County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Colbert County,55260,49004,6256,2999,2618,639,,12,"Baldwin County, Alabama","Colbert County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Covington County,36312,32660,3652,2481,768,403,,3,"Baldwin County, Alabama","Covington County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Cullman County,81656,73714,7942,5015,2223,704,,25,"Baldwin County, Alabama","Cullman County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Dale County,47147,39659,7488,3126,2289,2073,,110,"Baldwin County, Alabama","Dale County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Dallas County,39054,34106,4948,3123,1392,433,,95,"Baldwin County, Alabama","Dallas County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,DeKalb County,69711,61475,8236,5608,1740,888,,114,"Baldwin County, Alabama","DeKalb County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Elmore County,78802,68625,10177,4551,4515,1111,,15,"Baldwin County, Alabama","Elmore County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Escambia County,37335,34514,2821,1318,1117,386,,362,"Baldwin County, Alabama","Escambia County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Etowah County,101090,87863,13227,9063,2435,1729,,141,"Baldwin County, Alabama","Etowah County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Franklin County,31191,28609,2582,1412,828,342,,15,"Baldwin County, Alabama","Franklin County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Hale County,15510,13729,1781,407,1059,315,,10,"Baldwin County, Alabama","Hale County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Henry County,16888,15771,1117,460,580,77,,35,"Baldwin County, Alabama","Henry County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Jefferson County,650812,547909,102903,71086,18532,13285,,258,"Baldwin County, Alabama","Jefferson County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Lauderdale County,88588,75964,12624,8429,2602,1593,,76,"Baldwin County, Alabama","Lauderdale County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Lee County,153728,128091,25637,14360,4949,6328,,67,"Baldwin County, Alabama","Lee County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Limestone County,90955,81011,9944,4943,3464,1537,,13,"Baldwin County, Alabama","Limestone County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Madison County,355157,298126,57019,37693,8736,10590,12,307,"Baldwin County, Alabama","Madison County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Marengo County,19661,17582,2079,1142,764,173,,17,"Baldwin County, Alabama","Marengo County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Marion County,30254,27265,2989,1505,1079,405,,72,"Baldwin County, Alabama","Marion County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Marshall County,94779,83310,11469,6142,3745,1582,,23,"Baldwin County, Alabama","Marshall County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Mobile County,411234,358901,52333,37330,5941,9062,,1615,"Baldwin County, Alabama","Mobile County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Monroe County,21074,19543,1531,1002,289,240,,61,"Baldwin County, Alabama","Monroe County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Montgomery County,220735,177968,42741,29974,6819,5948,26,81,"Baldwin County, Alabama","Montgomery County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Morgan County,117102,104283,12819,8027,3833,959,,40,"Baldwin County, Alabama","Morgan County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Perry County,9831,8602,1229,204,906,119,,3,"Baldwin County, Alabama","Perry County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Pickens County,20118,18002,2116,1042,749,325,,12,"Baldwin County, Alabama","Pickens County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Russell County,55808,46872,8936,3938,1524,3474,,94,"Baldwin County, Alabama","Russell County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,St. Clair County,87046,76746,10300,5410,4028,862,,11,"Baldwin County, Alabama","St. Clair County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Shelby County,207819,182989,24830,12235,8024,4571,,142,"Baldwin County, Alabama","Shelby County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Talladega County,79471,68921,10550,6651,2621,1278,,6,"Baldwin County, Alabama","Talladega County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Tallapoosa County,40516,36101,4415,1860,1929,626,,2,"Baldwin County, Alabama","Tallapoosa County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Tuscaloosa County,197369,169020,28349,18668,5255,4426,,164,"Baldwin County, Alabama","Tuscaloosa County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Walker County,62018,54678,7340,5170,1762,408,,100,"Baldwin County, Alabama","Walker County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Washington County,16402,15349,1053,497,264,292,,32,"Baldwin County, Alabama","Washington County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alabama,Winston County,23872,20974,2898,1641,1182,75,,28,"Baldwin County, Alabama","Winston County, Alabama"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Alaska,Matanuska-Susitna Borough,103555,88201,15354,8520,3099,3735,,10,"Baldwin County, Alabama","Matanuska-Susitna Borough, Alaska"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Arizona,Cochise County,123826,103962,19864,8467,4877,6520,,20,"Baldwin County, Alabama","Cochise County, Arizona"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Arizona,Maricopa County,4215842,3553904,661843,511736,47088,103019,95,25,"Baldwin County, Alabama","Maricopa County, Arizona"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Arizona,Pima County,995009,814227,180694,135546,16385,28763,88,66,"Baldwin County, Alabama","Pima County, Arizona"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Arizona,Yuma County,202172,170372,31800,21393,4577,5830,,50,"Baldwin County, Alabama","Yuma County, Arizona"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,California,Butte County,224197,181502,42695,27937,11146,3612,,29,"Baldwin County, Alabama","Butte County, California"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,California,Fresno County,965496,832967,132529,104405,19382,8742,,8,"Baldwin County, Alabama","Fresno County, California"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,California,Los Angeles County,10010257,8943552,1066388,746329,178755,141304,317,7,"Baldwin County, Alabama","Los Angeles County, California"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,California,Sacramento County,1489968,1278817,211151,144088,45129,21934,,8,"Baldwin County, Alabama","Sacramento County, California"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,California,San Bernardino County,2094007,1842497,251510,159806,55841,35863,,11,"Baldwin County, Alabama","San Bernardino County, California"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,California,San Diego County,3263499,2774539,488954,332734,61697,94523,6,40,"Baldwin County, Alabama","San Diego County, California"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Colorado,Adams County,495431,421035,74396,34491,28491,11414,,65,"Baldwin County, Alabama","Adams County, Colorado"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,District of Columbia,District of Columbia,677804,550292,127424,67486,,59938,88,39,"Baldwin County, Alabama","District of Columbia, District of Columbia"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Florida,Bay County,182650,142261,40342,23481,8389,8472,47,79,"Baldwin County, Alabama","Bay County, Florida"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Florida,Charlotte County,173909,154552,19357,9453,5453,4451,,41,"Baldwin County, Alabama","Charlotte County, Florida"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Florida,Duval County,917824,747731,169981,116789,27375,25817,112,18,"Baldwin County, Alabama","Duval County, Florida"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Florida,Escambia County,305354,253436,51907,28391,8294,15222,11,750,"Baldwin County, Alabama","Escambia County, Florida"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Florida,Leon County,277605,216758,60847,39838,12973,8036,,8,"Baldwin County, Alabama","Leon County, Florida"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Florida,Miami-Dade County,2669671,2349909,319304,218785,58962,41557,458,12,"Baldwin County, Alabama","Miami-Dade County, Florida"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Florida,Okaloosa County,199014,158827,40187,19916,7851,12420,,125,"Baldwin County, Alabama","Okaloosa County, Florida"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Florida,Osceola County,340812,296188,43990,21959,15294,6737,634,2,"Baldwin County, Alabama","Osceola County, Florida"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Florida,Pinellas County,945554,807794,137485,91189,25651,20645,275,24,"Baldwin County, Alabama","Pinellas County, Florida"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Florida,St. Johns County,230409,200541,29868,14997,9215,5656,,56,"Baldwin County, Alabama","St. Johns County, Florida"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Florida,Santa Rosa County,168391,141020,27371,11927,7788,7656,,135,"Baldwin County, Alabama","Santa Rosa County, Florida"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Georgia,Chatham County,278383,221464,56912,34828,11228,10856,7,3,"Baldwin County, Alabama","Chatham County, Georgia"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Georgia,Cherokee County,244656,214927,29729,13384,11237,5108,,34,"Baldwin County, Alabama","Cherokee County, Georgia"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Georgia,Cobb County,733810,622873,110937,58621,32948,19368,,310,"Baldwin County, Alabama","Cobb County, Georgia"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Georgia,Columbia County,148274,130915,17359,6350,4656,6353,,160,"Baldwin County, Alabama","Columbia County, Georgia"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Georgia,Crisp County,22724,19660,3064,1534,1233,297,,11,"Baldwin County, Alabama","Crisp County, Georgia"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Georgia,Fayette County,112522,98287,14235,4679,6287,3269,,40,"Baldwin County, Alabama","Fayette County, Georgia"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Georgia,Fulton County,1024769,842002,182610,85456,58703,38451,157,52,"Baldwin County, Alabama","Fulton County, Georgia"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Georgia,Gordon County,57124,50035,7089,4129,2400,560,,17,"Baldwin County, Alabama","Gordon County, Georgia"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Georgia,Henry County,219737,193535,26181,11335,10381,4465,21,4,"Baldwin County, Alabama","Henry County, Georgia"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Georgia,Troup County,67848,59228,8620,5614,1871,1135,,22,"Baldwin County, Alabama","Troup County, Georgia"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Georgia,Walton County,88830,80198,8632,3629,3883,1120,,27,"Baldwin County, Alabama","Walton County, Georgia"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Georgia,Wayne County,30088,25793,4295,2057,1550,688,,12,"Baldwin County, Alabama","Wayne County, Georgia"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Georgia,Whitfield County,102870,94138,8732,4529,2685,1518,,2,"Baldwin County, Alabama","Whitfield County, Georgia"
Alabama,Baldwin County,210908,186155,24011,13004,4947,6060,742,Hawaii,Honolulu County,972698,834438,138246,82937,3514,51795,14,123,"Baldwin County, Alabama","Honolulu County, Hawaii"
