State,County,County and State,2015 Population,2019 Population,Net Migration 2015-19,% Change Due to Migration
California,Fresno County,"Fresno County, California",969488,999101,766.0,0.0007901077682240523
California,Glenn County,"Glenn County, California",27753,28393,-61.0,-0.0021979605808381078
California,Humboldt County,"Humboldt County, California",135102,135558,2724.0,0.02016254385575343
California,Imperial County,"Imperial County, California",178937,181215,-1590.0,-0.008885808971872782
California,Inyo County,"Inyo County, California",18108,18039,-636.0,-0.03512259774685222
California,Kern County,"Kern County, California",876031,900202,1596.0,0.0018218533362403843
California,Kings County,"Kings County, California",150085,152940,2335.0,0.015557850551354233
California,Lake County,"Lake County, California",64260,64386,312.0,0.004855275443510738
California,Lassen County,"Lassen County, California",31256,30573,2960.0,0.0947018172510878
California,Los Angeles County,"Los Angeles County, California",10085416,10039107,-114158.0,-0.011319116633364453
California,Madera County,"Madera County, California",153576,157327,-1327.0,-0.008640673021826327
California,Marin County,"Marin County, California",260916,258826,202.0,0.000774195526529611
California,Mariposa County,"Mariposa County, California",17622,17203,-102.0,-0.005788219271365339
California,Mendocino County,"Mendocino County, California",87107,86749,-628.0,-0.007209523918858415
California,Merced County,"Merced County, California",266353,277680,1310.0,0.004918285132887559
California,Modoc County,"Modoc County, California",9056,8841,-230.0,-0.025397526501766785
California,Mono County,"Mono County, California",14077,14444,-241.0,-0.017120125026639198
California,Monterey County,"Monterey County, California",430552,434061,-526.0,-0.0012216875081290993
California,Napa County,"Napa County, California",140862,137744,-1584.0,-0.011245048345188908
California,Nevada County,"Nevada County, California",98676,99755,-1427.0,-0.014461469860959099
California,Orange County,"Orange County, California",3149280,3175692,-19583.0,-0.0062182467103591935
California,Placer County,"Placer County, California",372841,398329,4698.0,0.012600545540860581
California,Plumas County,"Plumas County, California",18427,18807,-150.0,-0.008140229011776199
California,Riverside County,"Riverside County, California",2345816,2470546,19061.0,0.008125530732163136
California,Sacramento County,"Sacramento County, California",1493674,1552058,5105.0,0.0034177471121543254
California,San Benito County,"San Benito County, California",58216,62808,513.0,0.00881201044386423
California,San Bernardino County,"San Bernardino County, California",2115411,2180085,18897.0,0.008933015853656807
California,San Diego County,"San Diego County, California",3280850,3338330,-25808.0,-0.00786625417193715
California,San Francisco County,"San Francisco County, California",863010,881549,-15816.0,-0.018326554732853616
California,San Joaquin County,"San Joaquin County, California",722271,762148,3793.0,0.00525149147619107
California,San Luis Obispo County,"San Luis Obispo County, California",280077,283111,5903.0,0.021076346861755874
California,San Mateo County,"San Mateo County, California",765055,766573,-6524.0,-0.008527491487540112
California,Santa Barbara County,"Santa Barbara County, California",442229,446499,3543.0,0.00801168625304989
California,Santa Clara County,"Santa Clara County, California",1916285,1927852,-22359.0,-0.011667888649131
California,Santa Cruz County,"Santa Cruz County, California",273503,273213,570.0,0.0020840722039611997
California,Shasta County,"Shasta County, California",178314,180080,-1303.0,-0.00730733425305921
California,Sierra County,"Sierra County, California",2985,3005,45.0,0.01507537688442211
California,Siskiyou County,"Siskiyou County, California",43254,43539,32.0,0.0007398159707772691
California,Solano County,"Solano County, California",433409,447643,6454.0,0.014891245913213615
California,Sonoma County,"Sonoma County, California",500863,494336,-94.0,-0.0001876760711012792
California,Stanislaus County,"Stanislaus County, California",533211,550660,-2299.0,-0.00431161397645585
California,Sutter County,"Sutter County, California",95282,96971,154.0,0.0016162549064881089
California,Tehama County,"Tehama County, California",63158,65084,642.0,0.01016498305836157
California,Trinity County,"Trinity County, California",13094,12285,161.0,0.012295707957843287
California,Tulare County,"Tulare County, California",457161,466195,-2525.0,-0.005523218297273827
California,Tuolumne County,"Tuolumne County, California",53615,54478,947.0,0.017662967453138115
California,Ventura County,"Ventura County, California",845802,846006,-6743.0,-0.00797231503354213
California,Yolo County,"Yolo County, California",212037,220500,2071.0,0.009767163278107123
California,Yuba County,"Yuba County, California",74045,78668,81.0,0.0010939293672766561
Colorado,Adams County,"Adams County, Colorado",490443,517421,-781.0,-0.00159243785720257
Colorado,Alamosa County,"Alamosa County, Colorado",15894,16233,345.0,0.021706304265760666
Colorado,Arapahoe County,"Arapahoe County, Colorado",630984,656590,333.0,0.0005277471378038112
Colorado,Archuleta County,"Archuleta County, Colorado",12387,14029,521.0,0.04206022442883668
Colorado,Baca County,"Baca County, Colorado",3555,3581,45.0,0.012658227848101266
Colorado,Bent County,"Bent County, Colorado",5889,5577,-212.0,-0.03599932076753269
Colorado,Boulder County,"Boulder County, Colorado",318027,326196,6127.0,0.019265659833913474
Colorado,Broomfield County,"Broomfield County, Colorado",64866,70465,2610.0,0.04023679585607252
Colorado,Chaffee County,"Chaffee County, Colorado",18612,20356,-187.0,-0.01004728132387707
Colorado,Cheyenne County,"Cheyenne County, Colorado",1827,1831,43.0,0.02353585112205802
Colorado,Clear Creek County,"Clear Creek County, Colorado",9244,9700,550.0,0.05949805279099957
Colorado,Conejos County,"Conejos County, Colorado",8065,8205,85.0,0.010539367637941723
Colorado,Costilla County,"Costilla County, Colorado",3576,3887,-119.0,-0.03327740492170023
Colorado,Crowley County,"Crowley County, Colorado",5628,6061,1.0,0.00017768301350390902
Colorado,Custer County,"Custer County, Colorado",4434,5068,-267.0,-0.060216508795669824
Colorado,Delta County,"Delta County, Colorado",29913,31162,-365.0,-0.012202052619262528
Colorado,Denver County,"Denver County, Colorado",683285,727211,-2790.0,-0.004083215642082001
Colorado,Dolores County,"Dolores County, Colorado",1981,2055,-6.0,-0.003028773346794548
Colorado,Douglas County,"Douglas County, Colorado",322025,351154,1100.0,0.0034158838599487617
Colorado,Eagle County,"Eagle County, Colorado",53865,55127,229.0,0.004251369163649865
Colorado,Elbert County,"Elbert County, Colorado",24630,26729,385.0,0.01563134388956557
Colorado,El Paso County,"El Paso County, Colorado",674001,720403,10938.0,0.016228462569046632
Colorado,Fremont County,"Fremont County, Colorado",46282,47839,-613.0,-0.013244890022038805
Colorado,Garfield County,"Garfield County, Colorado",57698,60061,382.0,0.006620680092897501
Colorado,Gilpin County,"Gilpin County, Colorado",5805,6243,216.0,0.037209302325581395
Colorado,Grand County,"Grand County, Colorado",14726,15734,-183.0,-0.012426999864185793
Colorado,Gunnison County,"Gunnison County, Colorado",16104,17462,817.0,0.05073273720814704
Colorado,Hinsdale County,"Hinsdale County, Colorado",764,820,61.0,0.07984293193717278
Colorado,Huerfano County,"Huerfano County, Colorado",6404,6897,83.0,0.012960649594003748
Colorado,Jackson County,"Jackson County, Colorado",1353,1392,-262.0,-0.19364375461936437
Colorado,Jefferson County,"Jefferson County, Colorado",564888,582881,835.0,0.0014781691237909108
Colorado,Kiowa County,"Kiowa County, Colorado",1384,1406,30.0,0.02167630057803468
Colorado,Kit Carson County,"Kit Carson County, Colorado",8215,7097,-34.0,-0.004138770541692027
Colorado,Lake County,"Lake County, Colorado",7442,8127,261.0,0.03507121741467348
Colorado,La Plata County,"La Plata County, Colorado",54687,56221,448.0,0.008192074898970505
Colorado,Larimer County,"Larimer County, Colorado",333303,356899,6284.0,0.01885371568812762
Colorado,Las Animas County,"Las Animas County, Colorado",14043,14506,414.0,0.02948088015381329
Colorado,Lincoln County,"Lincoln County, Colorado",5543,5701,-265.0,-0.047808046184376694
Colorado,Logan County,"Logan County, Colorado",22472,22409,684.0,0.030437878248487007
Colorado,Mesa County,"Mesa County, Colorado",148025,154210,3337.0,0.022543489275460227
Colorado,Mineral County,"Mineral County, Colorado",744,769,42.0,0.056451612903225805
Colorado,Moffat County,"Moffat County, Colorado",12939,13283,69.0,0.005332715047530721
Colorado,Montezuma County,"Montezuma County, Colorado",25716,26183,-92.0,-0.0035775392751594337
Colorado,Montrose County,"Montrose County, Colorado",40562,42758,14.0,0.0003451506335979488
Colorado,Morgan County,"Morgan County, Colorado",28252,29068,911.0,0.032245504743027044
Colorado,Otero County,"Otero County, Colorado",18182,18278,44.0,0.0024199758002419977
Colorado,Ouray County,"Ouray County, Colorado",4608,4952,-389.0,-0.08441840277777778
Colorado,Park County,"Park County, Colorado",16726,18845,386.0,0.023077842879349515
Colorado,Phillips County,"Phillips County, Colorado",4327,4265,-21.0,-0.0048532470533857175
Colorado,Pitkin County,"Pitkin County, Colorado",17940,17767,-643.0,-0.03584169453734671
Colorado,Prowers County,"Prowers County, Colorado",11936,12172,129.0,0.010807640750670242
Colorado,Pueblo County,"Pueblo County, Colorado",163006,168424,508.0,0.003116449701237991
Colorado,Rio Blanco County,"Rio Blanco County, Colorado",6478,6324,-26.0,-0.004013584439641865
Colorado,Rio Grande County,"Rio Grande County, Colorado",11352,11267,-203.0,-0.01788231148696265
Colorado,Routt County,"Routt County, Colorado",24360,25638,109.0,0.004474548440065682
Colorado,Saguache County,"Saguache County, Colorado",6253,6824,-257.0,-0.04110027186950264
Colorado,San Juan County,"San Juan County, Colorado",689,728,-25.0,-0.036284470246734396
Colorado,San Miguel County,"San Miguel County, Colorado",7836,8179,-493.0,-0.06291475242470648
Colorado,Sedgwick County,"Sedgwick County, Colorado",2373,2248,-114.0,-0.04804045512010114
Colorado,Summit County,"Summit County, Colorado",30045,31011,-1731.0,-0.05761357963055417
Colorado,Teller County,"Teller County, Colorado",23388,25388,554.0,0.023687361039849496
Colorado,Washington County,"Washington County, Colorado",4786,4908,476.0,0.09945674885081487
Colorado,Weld County,"Weld County, Colorado",285819,324492,7850.0,0.027464934101651746
Colorado,Yuma County,"Yuma County, Colorado",10037,10019,-177.0,-0.017634751419746936
Connecticut,Fairfield County,"Fairfield County, Connecticut",944943,943332,-12601.0,-0.013335195879539824
Connecticut,Hartford County,"Hartford County, Connecticut",896290,891720,-7737.0,-0.00863225072242243
Connecticut,Litchfield County,"Litchfield County, Connecticut",184122,180333,-1370.0,-0.007440718653935977
Connecticut,Middlesex County,"Middlesex County, Connecticut",163724,162436,-566.0,-0.003457037453275024
Connecticut,New Haven County,"New Haven County, Connecticut",860186,854757,-3597.0,-0.004181653735354912
Connecticut,New London County,"New London County, Connecticut",269636,265206,1556.0,0.0057707427791541185
Connecticut,Tolland County,"Tolland County, Connecticut",151734,150721,2918.0,0.019231022710796526
Connecticut,Windham County,"Windham County, Connecticut",116487,116782,-434.0,-0.0037257376359593774
Delaware,Kent County,"Kent County, Delaware",173128,180786,2178.0,0.012580287417402154
Delaware,New Castle County,"New Castle County, Delaware",553488,558753,1611.0,0.002910632208828376
Delaware,Sussex County,"Sussex County, Delaware",214636,234225,1981.0,0.009229579380905347
District of Columbia,District of Columbia,"District of Columbia, District of Columbia",675400,705749,-4127.0,-0.006110453064850459
District of Columbia,District of Columbia,"District of Columbia, District of Columbia",675400,705749,-4127.0,-0.006110453064850459
Florida,Alachua County,"Alachua County, Florida",259052,269043,-79.0,-0.0003049580779148588
Florida,Baker County,"Baker County, Florida",27355,29210,2012.0,0.0735514531164321
Florida,Bay County,"Bay County, Florida",181488,174705,-3528.0,-0.019439301772017983
Florida,Bradford County,"Bradford County, Florida",26748,28201,588.0,0.021982951996410947
Florida,Brevard County,"Brevard County, Florida",565746,601942,8986.0,0.015883452998342013
Florida,Broward County,"Broward County, Florida",1885040,1952778,-8764.0,-0.0046492382124517255
Florida,Calhoun County,"Calhoun County, Florida",14406,14105,292.0,0.020269332222684993
Florida,Charlotte County,"Charlotte County, Florida",172382,188910,5237.0,0.03038020210926895
Florida,Citrus County,"Citrus County, Florida",140287,149657,3284.0,0.023409154091255782
Florida,Clay County,"Clay County, Florida",202392,219252,10045.0,0.0496314083560615
Florida,Collier County,"Collier County, Florida",356041,384902,6996.0,0.019649422397982255
Florida,Columbia County,"Columbia County, Florida",68222,71686,2056.0,0.03013690598340711
Florida,DeSoto County,"DeSoto County, Florida",35648,38001,1085.0,0.03043649012567325
Florida,Dixie County,"Dixie County, Florida",16353,16826,162.0,0.009906439185470555
Florida,Duval County,"Duval County, Florida",910578,957755,-1967.0,-0.002160166399803202
Florida,Escambia County,"Escambia County, Florida",309311,318316,3141.0,0.010154827988658664
Florida,Flagler County,"Flagler County, Florida",104436,115081,3612.0,0.03458577502010801
Florida,Franklin County,"Franklin County, Florida",11707,12125,284.0,0.02425899034765525
Florida,Gadsden County,"Gadsden County, Florida",46060,45660,-315.0,-0.006838905775075988
Florida,Gilchrist County,"Gilchrist County, Florida",17378,18582,334.0,0.01921970307285073
Florida,Glades County,"Glades County, Florida",13099,13811,868.0,0.06626460035117185
Florida,Gulf County,"Gulf County, Florida",15929,13639,915.0,0.057442400652897234
Florida,Hamilton County,"Hamilton County, Florida",14272,14428,352.0,0.02466367713004484
Florida,Hardee County,"Hardee County, Florida",27177,26937,-1672.0,-0.061522611031386835
Florida,Hendry County,"Hendry County, Florida",39248,42022,-315.0,-0.008025886669384428
Florida,Hernando County,"Hernando County, Florida",177900,193920,4814.0,0.027060146149522204
Florida,Highlands County,"Highlands County, Florida",100137,106221,1810.0,0.018075236925412186
Florida,Hillsborough County,"Hillsborough County, Florida",1364073,1471968,9027.0,0.006617681018537864
Florida,Holmes County,"Holmes County, Florida",19273,19617,410.0,0.0212732838686245
Florida,Indian River County,"Indian River County, Florida",147434,159923,3371.0,0.022864468168807738
Florida,Jackson County,"Jackson County, Florida",48609,46414,661.0,0.013598304840667366
Florida,Jefferson County,"Jefferson County, Florida",14115,14246,463.0,0.03280198370527807
